bucket,paper_folder,title,authors,arxiv_id,date_published,s3_uri,error
new-lwfa-not-sim-1,kb-data/output/Arbitrary-velocity_laser_pulses_in_plasma_waveguides,Arbitrary-velocity laser pulses in plasma waveguides,"J.P. Palastro, 1, ∗ K.G. Miller, 1, † M. R. Edwards, 2 A.L. Elliott, 1 L.S. Mack, 1 D. Singh, 2 and A.G.R. Thomas 3; University of Rochester, Laboratory for Laser Energetics,; Rochester, New York 14623-1299 USA 2 Department of Mechanical Engineering, Stanford University, Stanford, California 94305, USA 3 G´ erard Mourou Center for Ultrafast Optical Science, University of Michigan, Ann Arbor, Michigan 48109, USA (Dated: March 21, 2025)",,"March 21, 2025",s3://new-lwfa-not-sim-1/kb-data/output/Arbitrary-velocity_laser_pulses_in_plasma_waveguides/structured.json,
new-lwfa-not-sim-1,kb-data/output/Attenuation_of_waveguide_modes_in_narrow_metal_capillaries,Attenuation of waveguide modes in narrow metal capillaries,"P.V.Tuev 1, 2 and K.V.Lotov 1, 2; 1) Budker Institute of Nuclear Physics SB RAS, 630090, Novosibirsk, Russia; 2) Novosibirsk State University, 630090, Novosibirsk, Russia",,,s3://new-lwfa-not-sim-1/kb-data/output/Attenuation_of_waveguide_modes_in_narrow_metal_capillaries/structured.json,
new-lwfa-not-sim-1,kb-data/output/Automation_and_control_of_laser_wakefield_accelerators_using_Bayesian_optimisation,Automation and control of laser wakefield accelerators using Bayesian optimisation,"R.J. Shalloo, 1, ∗ S.J.D. Dann, 2 J.-N. Gruse, 1 C.I.D. Underwood, 3 A.F. Antoine, 4 C. Arran, 3 M. Backhouse, 1 C.D. Baird, 3, 2 M.D. Balcazar, 4 N. Bourgeois, 2 J.A. Cardarelli, 4 P. Hatfield, 5 J. Kang, 6 K. Krushelnick, 4 S.P.D. Mangles, 1 C.D. Murphy, 3 N. Lu, 7 J. Osterhoff, 8 K. Põder, 8 P.P. Rajeev, 2 C.P. Ridgers, 3 S. Rozario, 1; M.P. Selwood, 3 A.J. Shahani, 7 D.R. Symes, 2 A.G.R. Thomas, 4 C. Thornton, 2 Z. Najmudin, 1 and M.J.V. Streeter 1; The John Adams Institute for Accelerator Science,",1901.08436,"November 30, 2020",s3://new-lwfa-not-sim-1/kb-data/output/Automation_and_control_of_laser_wakefield_accelerators_using_Bayesian_optimisation/structured.json,
new-lwfa-not-sim-1,kb-data/output/Beam_current_from_downramp_injection_in_electron-driven_plasma_wakefields,Beam current from downramp injection in electron-driven plasma wakefields,"Despite some advantages such as the long dephasing length and a more stable wakefield structure, PWFAs saw comparatively less development than LWFAs because the sources of short (comparable to plasma wavelength) electron bunches with a high enough current to excite a nonlinear wake were not widely available. Recently, the concept of hybrid LWFA-PWFA multi-staged plasma accelerators (Hidding et al. 2010; Kurz et al. 2021;",,,s3://new-lwfa-not-sim-1/kb-data/output/Beam_current_from_downramp_injection_in_electron-driven_plasma_wakefields/structured.json,
new-lwfa-not-sim-1,kb-data/output/Beyond_optimization_--_supervised_learning_applications_in_relativistic_laser-plasma_experiments,Beyond optimization - supervised learning applications in relativistic laser-plasma experiments,"Jinpu Lin, 1, a) Qian Qian, 1 Jon Murphy, 1 Abigail Hsu, 2 Yong Ma, 1 Alfred Hero, 3 Alexander G.R. Thomas, 1 and Karl Krushelnick 1; 1) Center for Ultrafast Optical Science, University of Michigan, Ann Arbor, Michigan 48109, USA; 2) Department of Applied Mathematics and Statistics, Stoney Brook University, Stony Brook, NY 11794, USA",2005.07746,,s3://new-lwfa-not-sim-1/kb-data/output/Beyond_optimization_--_supervised_learning_applications_in_relativistic_laser-plasma_experiments/structured.json,
new-lwfa-not-sim-1,kb-data/output/Bounding_elastic_photon-photon_scattering_at_sqrt_s_approx_1MeV_using_a_laser-plasma_platform,Bounding elastic photon-photon scattering at √ s ≈ 1 MeV using a laser-plasma platform,"R. Watt a , B. Kettle a , E. Gerstmayr a , B. King b , A. Alejo e , S. Astbury h , C. Baird i , S. Bohlen d , M. Campbell p , C. Colgan a ,; D. Dannheim p , C. Gregory h , H. Harsh f,g , P. Hatfield 1 , J. Hinojosa c , D. Hollatz f,g , Y. Katzir h , J. Morton k , C.D. Murphy i , A. Nurnberg p , J. Osterho ff d , G. Pérez-Callejo m , K. Põder d , P.P. Rajeev h , C. Roedel f , F. Roeder g , F.C. Salgado f,g , G.M. Samarin e , G. Sarri e , A. Seidel f,g , C. Spindloe h , S. Steinke n , M.J.V. Streeter e,o , A.G.R. Thomas c,o , C. Underwood i , W. Wu a , M. Zepf f,g , a; S.J. Rose , S.P.D. Mangles a a The John Adams Institute for Accelerator Science, Imperial College London, London, SW7 2AZ, UK,",1702.01625,"February 4, 2025",s3://new-lwfa-not-sim-1/kb-data/output/Bounding_elastic_photon-photon_scattering_at_sqrt_s_approx_1MeV_using_a_laser-plasma_platform/structured.json,
new-lwfa-not-sim-1,kb-data/output/Bright_X-ray_radiation_from_plasma_bubbles_in_an_evolving_laser_wakefield_accelerator,Bright x-ray radiation from plasma bubbles in an evolving laser wakefield accelerator,"M.S. Bloom, 1 M.J.V. Streeter, 1, ∗ S. Kneip, 1 R.A. Bendoyro, 2 O. Cheklov, 3 J. M. Cole, 1 A. D¨ opp, 1, 4, 5; C.J. Hooker, 3 J. Holloway, 6 J. Jiang, 2 N.C. Lopes, 1, 2 H. Nakamura, 1 P.A. Norreys, 3 P.P. Rajeev, 3 3 1, 4 1 6 1 1, †; D.R. Symes, J. Schreiber, J. C. Wood, M. Wing, Z. Najmudin, and S.P.D. Mangles",,"May 7, 2020",s3://new-lwfa-not-sim-1/kb-data/output/Bright_X-ray_radiation_from_plasma_bubbles_in_an_evolving_laser_wakefield_accelerator/structured.json,
new-lwfa-not-sim-1,kb-data/output/Capturing_Structural_Dynamics_in_Crystalline_Silicon_Using_Chirped_Electrons_from_a_Laser_Wakefield_Accelerator,Capturing Structural Dynamics in Crystalline Silicon Using Chirped Electrons from a Laser Wakefield Accelerator,"Z.-H He , B. Beaurepaire , J. A. Nees , G. Gall´ e , S. A. Scott , J. R. S´ anchez P´ erez , M. G. Lagally 3 , K. Krushelnick 1 , A. G. R. Thomas 1,4 , and J. Faure 2; 1 Center for Ultrafast Optical Science, University of Michigan, Ann Arbor, MI 48109-2099 USA; 2 LOA, ENSTA ParisTech, CNRS, ´ Ecole polytechnique, Universit´ e Paris-Saclay, Palaiseau, France",,,s3://new-lwfa-not-sim-1/kb-data/output/Capturing_Structural_Dynamics_in_Crystalline_Silicon_Using_Chirped_Electrons_from_a_Laser_Wakefield_Accelerator/structured.json,
new-lwfa-not-sim-1,kb-data/output/Carrier-Envelope_Phase_Controlled_Electron_Injection_into_a_Laser-Wakefield_Accelerator,Carrier-Envelope Phase Controlled Electron Injection into a Laser-Wakefield Accelerator,"Jihoon Kim 1,a) , Tianhong Wang 1 , Vladimir Khudik 1,2 and Gennady Shvets 1; 1 School of Applied and Engineering Physics, Cornell University, Ithaca, NY 14850, USA.; 2 Department of Physics and Institute for Fusion Studies, The University of Texas at Austin, Austin, TX 78712, USA.",,,s3://new-lwfa-not-sim-1/kb-data/output/Carrier-Envelope_Phase_Controlled_Electron_Injection_into_a_Laser-Wakefield_Accelerator/structured.json,
new-lwfa-not-sim-1,kb-data/output/Characterisation_of_Laser_Wakefield_Acceleration_Efficiency_with_Octave_Spanning_Near-IR_Spectrum_Measurements,Characterisation of Laser Wakefield Acceleration Efficiency with Octave Spanning Near-IR Spectrum Measurements,"M.J.V. Streeter, 1, 2, 3, * Y. Ma, 4, 1, 2 B. Kettle, 3 S.J.D. Dann, 1, 2 E. Gerstmayr, 3 F. Albert, 5; N. Bourgeois, 6 S. Cipiccia, 7 J.M. Cole, 3 I. Gallardo Gonz´ alez, 8 A.E. Hussein, 4, 9; D.A. Jaroszynski, 10, 1 K. Falk, 11, 12, 13 K. Krushelnick, 4 N. Lemos, 5 N.C. Lopes, 3, 14 C. Lumsdon, 15",,"December 21, 2022",s3://new-lwfa-not-sim-1/kb-data/output/Characterisation_of_Laser_Wakefield_Acceleration_Efficiency_with_Octave_Spanning_Near-IR_Spectrum_Measurements/structured.json,
new-lwfa-not-sim-1,kb-data/output/Characterization_of_Supersonic_Jet_and_Shock_Wave_with_High-Resolution_Quantitative_Schlieren_Imaging,Characterization of Supersonic Jet and Shock Wave with High-Resolution Quantitative Schlieren Imaging,"Yung-Kun Liu ∗ 1,2 , Ching-En Lin 1,2 , Jiwoo Nam 1,2 , and Pisin Chen † 1,2; 1 Leung Center for Cosmology and Particle Astrophysics, National Taiwan University, Taipei 10617, Taiwan, R.O.C. 2 Department of Physics, National Taiwan University, Taipei 10617, Taiwan, R.O.C.; Keywords: Schlieren imaging, Quantitative Schlieren, Supersonic jet, Shock wave, Highresolution imaging",,,s3://new-lwfa-not-sim-1/kb-data/output/Characterization_of_Supersonic_Jet_and_Shock_Wave_with_High-Resolution_Quantitative_Schlieren_Imaging/structured.json,
new-lwfa-not-sim-1,kb-data/output/Coherent_ultra-broadband_laser-assisted_injection_radiation_from_a_laser_plasma_accelerator,Coherent ultra-broadband laser-assisted injection radiation from a laser plasma accelerator,"B. Miao, L. Feder, J. Elle, A. J. Goers, D. Woodbury, F. Salehi, J. K. Wahlstrand, and  H. M. Milchberg *; Institute for Research in Electronics and Applied Physics, University of Maryland, College Park, MD 20742",,,s3://new-lwfa-not-sim-1/kb-data/output/Coherent_ultra-broadband_laser-assisted_injection_radiation_from_a_laser_plasma_accelerator/structured.json,
new-lwfa-not-sim-1,kb-data/output/Collective_deceleration_toward_a_compact_beam_dump,Collective deceleration: toward a compact beam dump,"H.-C. Wu 1 , T. Tajima 1,2 , D. Habs 1,2 , A.W. Chao 3 , J. Meyer-ter-Vehn 1; 1 Max-Planck-Institut für Quantenoptik, D-85748 Garching, Germany; 2 Fakultät für Physik, Ludwig-Maximilians-Universität München, D-85748 Garching, Germany",,,s3://new-lwfa-not-sim-1/kb-data/output/Collective_deceleration_toward_a_compact_beam_dump/structured.json,
new-lwfa-not-sim-1,kb-data/output/Compact_LWFA-Based_Extreme_Ultraviolet_Free_Electron_Laser_design_constraints,Compact LWFA-Based Extreme Ultraviolet Free Electron Laser: design constraints,"Alexander Molodozhentsev GLYPH<3> , Konstantin O. Kruchinin; Institute of Physics ASCR, v.v.i. (FZU), ELI-Beamlines, Za Radnici 835 Dolni Brezany 25241, Czech Republic; Keywords: laser wake field acceleration, free electron laser, electron beam transport",,,s3://new-lwfa-not-sim-1/kb-data/output/Compact_LWFA-Based_Extreme_Ultraviolet_Free_Electron_Laser_design_constraints/structured.json,
new-lwfa-not-sim-1,kb-data/output/Compact_polarized_X-ray_source_based_on_all-optical_inverse_Compton_scattering,Compact polarized X-ray source based on all-optical inverse Compton scattering,"Department of Engineering Physics, Tsinghua University, Beijing 100084, China and Institute of High Energy Physics, Chinese Academy of Science, Beijing 100049, China; Jianfei Hua, Dexiang Liu, Yunxiao He, Tianliang Zhang, Jiucheng Chen, Fan Yang, Xiaonan Ning, Hongze Zhang, and Yingchao Du Department of Engineering Physics, Tsinghua University, Beijing 100084, China; Department of Engineering Physics, Tsinghua University, Beijing 100084, China and Beijing Academy of Quantum Information Sciences, Beijing 100193, China",1612.09403,,s3://new-lwfa-not-sim-1/kb-data/output/Compact_polarized_X-ray_source_based_on_all-optical_inverse_Compton_scattering/structured.json,
new-lwfa-not-sim-1,kb-data/output/Compton_recoil_effects_in_staging_of_laser_wakefield_accelerators,Compton recoil effects in staging of laser wakefield accelerators,"M.J.V.Streeter 1 and Z. Najmudin 1; The John Adams Institute for Accelerator Science, Imperial College London, London, SW7 2AZ, UK (Dated: July 23, 2020); An LWFA consists of an electron plasma wave driven by the ponderomotive force of an intense laser pulse. The phase velocity of this plasma wave is determined by the group velocity of the laser in the plasma; v g = c √ 1 -( ω p /ω 0 ) 2 , where ω p = √ n e e 2 /glyph[epsilon1] 0 m e is the plasma frequency for a plasma of density n e , and ω 0 is the laser frequency. For low plasma density ( ω p glyph[lessmuch] ω 0 ), the Lorentz factor associated with the plasma wave is",,"July 23, 2020",s3://new-lwfa-not-sim-1/kb-data/output/Compton_recoil_effects_in_staging_of_laser_wakefield_accelerators/structured.json,
new-lwfa-not-sim-1,kb-data/output/Controlling_injection_using_a_magnetic_field_to_produce_sub-femtosecond_bunches_in_the_laser_wakefield_accelerator,Controlling injection using a magnetic field to produce sub-femtosecond bunches in the laser wakefield accelerator,"Q. Zhao 1 , 2 , S. M. Weng 1 , 2 , † , M. Chen 1 , 2 , M. Zeng 3 , B. Hidding 4 , 5 ,D. A. Jaroszynski 4 , 5 , R. Assmann 3 , Z. M. Sheng 1 , 2 , 4 , 5 , ‡; 1 Key Laboratory for Laser Plasmas (MoE), Department of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai 200240, China; 2 Collaborative Innovation Center of IFSA, Shanghai Jiao Tong University, Shanghai 200240, China",,,s3://new-lwfa-not-sim-1/kb-data/output/Controlling_injection_using_a_magnetic_field_to_produce_sub-femtosecond_bunches_in_the_laser_wakefield_accelerator/structured.json,
new-lwfa-not-sim-1,kb-data/output/Controlling_the_spectrum_of_x-rays_generated_in_a_laser-plasma_accelerator_by_tailoring_the_laser_wavefront,Controlling the spectrum of x-rays generated in a laser-plasma accelerator by tailoring the laser wavefront,"S. P. D. Mangles 1 , G. Genoud 2 , S. Kneip 1 , M. Burza 2 , K. Cassou 3 ,; B. Cros 3 , N. P. Dover 1 , C. Kamperidis 2 , Z. Najmudin 1 ,; A. Persson 2 , J. Schreiber 1 , F. Wojda 3 , and C.-G. Wahlstr¨ om 2",,,s3://new-lwfa-not-sim-1/kb-data/output/Controlling_the_spectrum_of_x-rays_generated_in_a_laser-plasma_accelerator_by_tailoring_the_laser_wavefront/structured.json,
new-lwfa-not-sim-1,kb-data/output/Convergence_in_nonlinear_laser_wakefield_accelerators_modeling_in_a_Lorentz-boosted_frame,Convergence in nonlinear laser wakefield accelerators modeling in a Lorentz-boosted frame,"meters [7]. To eliminate altogether the numerical dispersion, Haber et al. introduced a pseudo-spectral analytical time-domain (PSATD) algorithm [8], which has no CFL limit, offers substantial flexibility in plasma and particle beam simulations, and is more stable with regard to Numerical Cerenkov instability [9].",1711.01613,,s3://new-lwfa-not-sim-1/kb-data/output/Convergence_in_nonlinear_laser_wakefield_accelerators_modeling_in_a_Lorentz-boosted_frame/structured.json,
new-lwfa-not-sim-1,kb-data/output/Demonstration_of_ultra-low_emittance_beams_in_a_kHz_laser_wakefield_accelerator_and_application_to_electron_diffraction,Demonstration of ultra-low emittance beams in a kHz laser wakefield accelerator and application to electron diffraction,"J. Monzac, 1, ∗ S. Smartsev, 1 J. Huijts, 1 A. Vernier, 1 I. A. Andriyash, 1 V. Tomkus, 2 V. Girdauskas, 2, 3 G. Raciukaitis, 2; M. Mackeviˇ ci¯ ut˙ e, V. Stankevic, A. Cavagna, J. Kaur, A. Kalouguine, R. Lopez-Martens, and J. Faure; 1 Laboratoire d'Optique Appliqu´ ee (LOA), CNRS, ´ Ecole polytechnique,",,"February 16, 2026",s3://new-lwfa-not-sim-1/kb-data/output/Demonstration_of_ultra-low_emittance_beams_in_a_kHz_laser_wakefield_accelerator_and_application_to_electron_diffraction/structured.json,
new-lwfa-not-sim-1,kb-data/output/Design_of_a_prototype_laser-plasma_injector_for_the_DESY-II_synchrotron,Design of a prototype laser-plasma injector for the DESY-II synchrotron,"S. A. Antipov 1 , ∗ A. Ferran Pousa 1 , I. Agapov 1 , R. Brinkmann 1 , A. R. Maier 1 , S. Jalas 2 , L. Jeppe 2 ,; M. Kirchen 2 , W. P. Leemans 1,3 , A. Martinez de la Ossa 1 , J. Osterhoff 1 , M. Th´ evenet 1 , and P. Winkler 1,2; 1 Deutsches Elektronen-Synchrotron DESY, Notkestr. 85, 22607 Hamburg, Germany",,"July 13, 2021",s3://new-lwfa-not-sim-1/kb-data/output/Design_of_a_prototype_laser-plasma_injector_for_the_DESY-II_synchrotron/structured.json,
new-lwfa-not-sim-1,kb-data/output/Development_of_an_achromatic_spectrometer_for_a_laser-wakefield-accelerator_experiment,INTRODUCTION,"Plasma accelerators show a large potential for use in accelerator facilities thanks to their large accelerating gradients of up to 100 GV/m. In its essence, a plasma wakefield accelerator transfers the energy of a driving bunch or laser pulse to a trailing bunch through the fields driven in the plasma. For applications requiring high energies, many stages with a new driver at each stage will be required to accelerate a bunch.; The SPARTA project [2,3] is developing a nonlinear active plasma lens to provide viable staging optics, potentially solving one of the major remaining milestones in plasmawakefield acceleration. While proving a viable concept of staging is the final goal, the suitability of such a nonlinear active plasma lens can be demonstrated with a simpler application in plasma accelerators.; Laser-driven plasma-wakefield acceleration (LWFA) has been demonstrated across many different experiments and facilities with varying beam qualities, while they have usually",,,s3://new-lwfa-not-sim-1/kb-data/output/Development_of_an_achromatic_spectrometer_for_a_laser-wakefield-accelerator_experiment/structured.json,
new-lwfa-not-sim-1,kb-data/output/Dimuon_production_by_laser-wakefield_accelerated_electrons,Dimuon production by laser-wakefield accelerated electrons,"A.I. Titov a,b,c , B. K¨ ampfer a,d and H. Takabe c a Forschungzentrum Dresden-Rossendorf, 01314 Dresden, Germany; b Bogoliubov Laboratory of Theoretical Physics, JINR, Dubna 141980, Russia c Institute of Laser Engineering, Yamada-oka, Suita, Osaka 565-0871, Japan; d Institut f¨ ur Theoretische Physik, TU Dresden, 01062 Dresden, Germany",0710.4947,,s3://new-lwfa-not-sim-1/kb-data/output/Dimuon_production_by_laser-wakefield_accelerated_electrons/structured.json,
new-lwfa-not-sim-1,kb-data/output/Dual-energy_electron_beams_from_a_compact_laser-driven_accelerator,Dual-energy electron beams from a compact laser-driven accelerator,"J. Wenz ∗ , 1, 2 A. D¨ opp ∗ , † , 1, 2 K. Khrennikov ∗ , 1, 2 S. Schindler, 1, 2 M. Gilljohann, 1, 2 H. Ding, 1, 2; G¨ otzfried, 1 A. Buck, 1, 2 J. Xu, 2, 3 M. Heigoldt, 1, 2 W. Helml, 1, 4, 5 L. Veisz, 2, 6 and S. Karsch † 1, 2; 1 Ludwig-Maximilians-Universit¨ at M¨ unchen, Am Coulombwall 1, 85748 Garching, Germany",,,s3://new-lwfa-not-sim-1/kb-data/output/Dual-energy_electron_beams_from_a_compact_laser-driven_accelerator/structured.json,
new-lwfa-not-sim-1,kb-data/output/Dynamics_of_Femtosecond_Electron_Bunches,Dynamics_of_Femtosecond_Electron_Bunches,"A. G. Khachatryan, A. Irman, F. A. van Goor, and K.-J. Boller; Faculty of Science and Technology, MESA+ Institute, University of Twente, P.O. Box 217,; 7500 AE Enschede, The Netherlands",,,s3://new-lwfa-not-sim-1/kb-data/output/Dynamics_of_Femtosecond_Electron_Bunches/structured.json,
